index,start,end,confidence,anchor_coverage,needs_review,text
53,256.928,260.81,0.7655,0.8182,False,"I thought I was weak and rotten, too damaged to explain,"
54,260.87,264.991,0.6616,1,False,so I punished what I couldn't fix and swallowed it again.
55,265.111,269.032,0.7826,1,False,"I wanted out of my body, not a story I could tell."
56,269.393,274.334,0.6583,0.9091,False,I kept taking what could numb me and then hated myself.
57,275.895,282.997,0.7099,1,False,I never called it overdose; I called it getting through.
58,284.429,290.977,0.64,1,False,I didn't know what was wrong with me. I only knew what pills could do.
59,291.462,295.224,0.7361,1,False,"I don't call it good, and I don't call it bad."
60,295.364,299.546,0.8573,1,False,It held some of the worst and the best that I had.
61,299.626,303.829,0.8319,1,False,"Now when I remember, I can't make it clean."
62,303.949,308.071,0.8442,1,False,"I hated those years, but I still miss sixteen."
63,308.091,312.133,0.63,1,False,"Newark is traffic I pass on the way,"
64,312.533,316.436,0.7062,1,False,but part of me stays in that bedroom some days.
65,316.956,320.578,0.7557,1,False,I know what it cost me; I know what it meant.
66,321.178,325.82,0.6122,1,False,I grew without knowing which direction I went.
67,326.16,329.781,0.6609,1,False,I WASN'T CHASING A STORY TO TELL!
68,330.421,334.022,0.7284,0.7143,False,I WAS SIXTEEN AND NOT DOING WELL!
69,334.682,338.184,0.6459,1,False,"I WASN'T BRAVE, AND I WASN'T FREE!"
70,338.484,342.50870000000003,0.6001,0.9,False,I TOOK WHAT I COULD TO GET AWAY FROM ME!
71,342.685,346.927,0.6182,1,False,THE CITY MOVED ON WHILE I STAYED IN THAT ROOM!
72,347.007,351.2445,0.6033,0.875,False,I KEPT THE BLINDS CLOSED UNTIL AFTER NOON!
73,351.229,354.99339999999995,0.7324,0.9,False,"I THOUGHT I HAD TIME, SO I WASTED IT NUMB!"
74,355.131,359.1412,0.6076,0.8889,False,"BY THE TIME I LOOKED UP, SEVENTEEN WAS DONE!"
75,359.253,363.416,0.6685,1,False,"I took pill after pill just to quiet my head,"
76,363.636,367.638,0.6144,1,False,then smoked by the window and stayed in my bed.
77,367.858,372,0.5935,1,False,Dropped acid alone while the ceiling turned strange
78,372.44,376.306,0.6415,1,False,and waited for something inside me to change.
79,376.75735,381.414,0.8769,0.9,False,"At sixteen, I thought I had years left to lose."
80,381.494,385.72,0.8213,1,False,"At seventeen, I had habits to choose."
81,385.86,389.866,0.8075,1,False,"I don't miss the fear or the things I went through,"
82,390.086,394.092,0.8784,1,False,but I miss that old room more than I want to.
83,394.112,398.8932045454546,0.6828,0.7143,False,"I remember the feeling, warm but uneasy,"
84,398.8454772727273,398.91593181818183,0,0,True,"a new home, a new city, a life in between."
85,398.86820454545455,398.93638636363636,0,0,True,"I don't miss that bedroom, at least not completely,"
86,398.88638636363635,402.32000000000005,0.558,0.1,True,but sometimes I miss what it meant to be sixteen.
